epoch;acc;loss;val_acc;val_loss
0;0.40404041879104846;1.6108501619762845;0.4500000014901161;1.7321541488170624
1;0.6266666814684868;1.0384483262896538;0.5300000041723252;1.7409798502922058
2;0.6262626443246398;1.1086413625514868;0.6100000083446503;1.0671235978603364
3;0.6866666853427887;0.9041641414165497;0.46000000536441804;1.4152913331985473
4;0.6902357074949477;0.8169353628399396;0.5100000038743019;1.3154582738876344
5;0.7138047290570808;0.7158858736958167;0.5700000047683715;1.268997448682785
6;0.7066666811704636;0.7650637350976467;0.7000000029802322;0.9040401399135589
7;0.734006746549799;0.6875754925939772;0.6600000023841858;0.8242886781692504
8;0.7600000128149986;0.6734128057956695;0.65;1.0349498867988587
9;0.7845117973558831;0.5277478562461005;0.6400000035762787;0.9600971400737762
10;0.7744107884590072;0.5707802980235128;0.5800000011920929;1.3597834765911103
11;0.8066666781902313;0.553879001364112;0.6099999964237213;1.2051938891410827
12;0.7946128062527589;0.5288242639014216;0.5100000068545342;1.626760071516037
13;0.8166666775941849;0.49862813837826253;0.49000000953674316;1.6299011707305908
14;0.8181818278148921;0.5251721246073945;0.6300000041723252;1.8739069402217865
15;0.7744107878569401;0.5361569459089125;0.610000005364418;1.3094878017902374
16;0.8433333426713944;0.4326331105083227;0.6800000071525574;1.3988902628421784
17;0.7744107860507388;0.6263807987925982;0.5700000107288361;1.3450615227222442
18;0.8080808201221504;0.5553812687144135;0.7900000035762786;0.637730085849762
19;0.8466666758060455;0.43666730970144274;0.6600000038743019;1.1373793303966522
20;0.8417508505811595;0.3814482098125448;0.6399999976158142;1.2576161980628968
21;0.8300000101327896;0.44821527525782584;0.7000000059604645;1.0248526155948638
22;0.8518518594780353;0.41408906967350934;0.6299999952316284;1.2514617264270782
23;0.8653198727453598;0.39773097227920184;0.6300000101327896;1.4632103443145752
24;0.8266666769981384;0.4764508385211229;0.8099999964237213;0.5976893067359924
25;0.8417508499790923;0.4674715975468809;0.590000006556511;1.371077412366867
26;0.8653198739494941;0.34580337820631085;0.8;0.7143576338887214
27;0.8900000065565109;0.3223213694989681;0.7100000023841858;1.0618158221244811
28;0.8989899056126373;0.33780634151113154;0.7599999964237213;0.8147160843014717
29;0.8866666734218598;0.3644515354186296;0.8299999952316284;0.5436762347817421
30;0.88552189294738;0.3323650487294101;0.9399999856948853;0.2827544055879116
31;0.8666666746139526;0.32436327571049334;0.7900000035762786;0.7210290759801865
32;0.8956229024463229;0.32936161891980603;0.8;0.7144984185695649
33;0.8821548891789985;0.37190240772083555;0.7699999988079071;0.6389575302600861
34;0.9090909145095132;0.30074242856165373;0.8199999988079071;0.579525800049305
35;0.8766666740179062;0.32876047063618896;0.8;0.7213619783520698
36;0.9033333390951157;0.2602004915475845;0.7300000011920929;1.074674941599369
37;0.8720538802821227;0.3256416852877598;0.6600000083446502;1.3630086779594421
38;0.898989903806436;0.26290255525346956;0.9199999928474426;0.37244033366441726
39;0.8855218917432458;0.34547802173730097;0.9099999904632569;0.32361050955951215
40;0.8833333402872086;0.3526796191930771;0.7799999952316284;0.6829622596502304
41;0.898989903806436;0.2482779858389286;0.879999989271164;0.3542729865759611
42;0.873333340883255;0.30740986242890356;0.6699999988079071;1.241864839196205
43;0.8686868771158084;0.34926104523015744;0.7400000035762787;1.238312740623951
44;0.8700000077486039;0.33373561315238476;0.6899999976158142;1.0125866115093232
45;0.8922558992800086;0.3210422028646325;0.9099999904632569;0.2465706042945385
46;0.8900000065565109;0.31700687352567913;0.7900000035762786;0.5625910796225071
47;0.9158249214442089;0.25945437447440745;0.7800000011920929;1.0207547128200531
